Reaction Date,Reaction Type,Parent Type,Parent ID
"Oct 13, 2024, 11:11:32 AM",Kudos,Activity,12643051533
"Oct 13, 2024, 11:11:49 AM",Kudos,Activity,12644125807
"Oct 13, 2024, 11:29:40 AM",Kudos,Activity,12644559382
"Oct 13, 2024, 11:30:11 AM",Kudos,Activity,12644600164
"Oct 13, 2024, 6:16:03 PM",Kudos,Activity,12646280466
"Oct 15, 2024, 6:53:51 AM",Kudos,Activity,12653354078
"Oct 15, 2024, 4:13:29 PM",Kudos,Activity,12661329277
"Oct 15, 2024, 6:51:40 PM",Kudos,Activity,12663588082
"Oct 15, 2024, 6:53:16 PM",Kudos,Activity,12663512489
"Oct 15, 2024, 6:53:20 PM",Kudos,Activity,12663604693
"Oct 15, 2024, 6:53:42 PM",Kudos,Activity,12663359955
"Oct 15, 2024, 6:53:44 PM",Kudos,Activity,12663516998
"Oct 17, 2024, 11:24:13 AM",Kudos,Activity,12675209969
"Oct 17, 2024, 7:07:34 PM",Kudos,Activity,12679204559
"Oct 18, 2024, 4:43:09 PM",Kudos,Activity,12682591959
"Oct 18, 2024, 7:09:57 PM",Kudos,Activity,12686346413
"Oct 18, 2024, 7:10:00 PM",Kudos,Activity,12686283884
"Oct 20, 2024, 11:27:41 AM",Kudos,Activity,12691746725
"Oct 20, 2024, 11:28:13 AM",Kudos,Activity,12690025374
"Oct 20, 2024, 11:28:17 AM",Kudos,Activity,12691492715
"Oct 20, 2024, 11:28:19 AM",Kudos,Activity,12692332344
"Oct 22, 2024, 10:56:32 AM",Kudos,Activity,12711537528
"Oct 22, 2024, 10:56:37 AM",Kudos,Activity,12714334429
"Oct 22, 2024, 6:20:25 PM",Kudos,Activity,12717769802
"Oct 22, 2024, 7:38:28 PM",Kudos,Activity,12718340446
"Oct 22, 2024, 7:38:39 PM",Kudos,Activity,12719345475
"Oct 23, 2024, 7:33:23 AM",Kudos,Activity,12722724528
"Oct 23, 2024, 6:04:37 PM",Kudos,Activity,12727351021
"Oct 27, 2024, 1:59:44 PM",Kudos,Activity,12746410105
"Oct 27, 2024, 1:59:47 PM",Kudos,Activity,12746058467
"Oct 27, 2024, 1:59:50 PM",Kudos,Activity,12745869360
"Oct 27, 2024, 1:59:57 PM",Kudos,Activity,12750054737
"Oct 27, 2024, 2:00:04 PM",Kudos,Activity,12746507996
"Oct 29, 2024, 7:06:02 PM",Kudos,Activity,12774233147
"Oct 29, 2024, 8:05:19 PM",Kudos,Activity,12775720932
"Nov 1, 2024, 3:17:33 PM",Kudos,Activity,12797551205
"Nov 1, 2024, 3:17:36 PM",Kudos,Activity,12797542272
"Nov 1, 2024, 3:56:45 PM",Kudos,Activity,12786856483
"Nov 1, 2024, 3:56:51 PM",Kudos,Activity,12783836870
"Nov 1, 2024, 3:56:54 PM",Kudos,Activity,12783917766
"Nov 1, 2024, 3:57:14 PM",Kudos,Activity,12795270526
"Nov 1, 2024, 3:57:18 PM",Kudos,Activity,12789180411
"Nov 1, 2024, 3:57:20 PM",Kudos,Activity,12786883820
"Nov 1, 2024, 8:38:21 PM",Kudos,Activity,12798982387
"Nov 3, 2024, 5:30:28 PM",Kudos,Activity,12812361064
"Nov 3, 2024, 5:30:37 PM",Kudos,Activity,12804622717
"Nov 3, 2024, 6:02:59 PM",Kudos,Activity,12810046844
"Nov 5, 2024, 8:50:33 PM",Kudos,Activity,12830475011
"Nov 5, 2024, 8:51:32 PM",Kudos,Activity,12830648264
"Nov 6, 2024, 7:01:07 PM",Kudos,Activity,12837561493
"Nov 6, 2024, 7:01:15 PM",Kudos,Activity,12834848887
"Nov 6, 2024, 7:01:31 PM",Kudos,Activity,12831193500
"Nov 7, 2024, 7:42:13 PM",Kudos,Activity,12845066740
"Nov 7, 2024, 7:42:25 PM",Kudos,Activity,12846859382
"Nov 7, 2024, 7:42:42 PM",Kudos,Activity,12846824462
"Nov 7, 2024, 7:42:45 PM",Kudos,Activity,12846918614
"Nov 7, 2024, 7:42:56 PM",Kudos,Activity,12846956183
"Nov 10, 2024, 10:06:09 AM",Kudos,Activity,12861638210
"Nov 10, 2024, 2:03:01 PM",Kudos,Activity,12866073739
"Nov 12, 2024, 10:10:57 AM",Kudos,Activity,12881475339
"Nov 13, 2024, 6:31:53 AM",Kudos,Activity,12885404176
"Nov 13, 2024, 6:32:06 AM",Kudos,Activity,12880785441
"Nov 14, 2024, 7:28:12 PM",Kudos,Activity,12893562046
"Nov 14, 2024, 7:28:23 PM",Kudos,Activity,12897094746
"Nov 15, 2024, 8:50:34 AM",Kudos,Activity,12901225805
"Nov 15, 2024, 8:50:36 AM",Kudos,Activity,12901352752
"Nov 15, 2024, 8:50:42 AM",Kudos,Activity,12892809141
"Nov 15, 2024, 8:50:46 AM",Kudos,Activity,12903932988
"Nov 16, 2024, 9:40:05 AM",Kudos,Activity,12907875210
"Nov 16, 2024, 4:37:37 PM",Kudos,Activity,12913746122
"Nov 17, 2024, 12:03:14 PM",Kudos,Activity,12915959886
